minute,count
2015-05-17 10:05,814
2015-05-17 11:05,1166
2015-05-17 12:05,1210
2015-05-17 13:05,1276
2015-05-17 14:05,1298
2015-05-17 15:05,1353
2015-05-17 16:05,1276
2015-05-17 17:05,1276
2015-05-17 18:05,1243
2015-05-17 19:05,1265
2015-05-17 20:05,1375
2015-05-17 21:05,1287
2015-05-17 22:05,1276
2015-05-17 23:05,1210
2015-05-18 00:05,1210
2015-05-18 01:05,1254
2015-05-18 02:05,1309
2015-05-18 03:05,1210
2015-05-18 04:05,1177
2015-05-18 05:05,1320
2015-05-18 06:05,1155
2015-05-18 07:05,1287
2015-05-18 08:05,495
2015-05-18 09:05,440
2015-05-18 10:05,1331
2015-05-18 11:05,1287
2015-05-18 12:05,1287
2015-05-18 13:05,1243
2015-05-18 14:05,1243
2015-05-18 15:05,1397
2015-05-18 16:05,1111
2015-05-18 17:05,1221
2015-05-18 18:05,1210
2015-05-18 19:05,1188
2015-05-18 20:05,1221
2015-05-18 21:05,1353
2015-05-18 22:05,1100
2015-05-18 23:05,1221
2015-05-19 00:05,1155
2015-05-19 01:05,968
2015-05-19 02:05,1353
2015-05-19 03:05,1199
2015-05-19 04:05,1331
2015-05-19 05:05,1320
2015-05-19 06:05,1287
2015-05-19 07:05,1144
2015-05-19 08:05,1309
2015-05-19 09:05,1243
2015-05-19 10:05,1287
2015-05-19 11:05,1243
2015-05-19 12:05,1243
2015-05-19 13:05,946
2015-05-19 14:05,1419
2015-05-19 15:05,1221
2015-05-19 16:05,1243
2015-05-19 17:05,1177
2015-05-19 18:05,1298
2015-05-19 19:05,1441
2015-05-19 20:05,1331
2015-05-19 21:05,1254
2015-05-19 22:05,957
2015-05-19 23:05,1353
2015-05-20 00:05,1353
2015-05-20 01:05,1309
2015-05-20 02:05,1254
2015-05-20 03:05,1386
2015-05-20 04:05,1221
2015-05-20 05:05,1221
2015-05-20 06:05,1210
2015-05-20 07:05,1287
2015-05-20 08:05,1199
2015-05-20 09:05,1232
2015-05-20 10:05,1265
2015-05-20 11:05,1177
2015-05-20 12:05,1144
2015-05-20 13:05,1221
2015-05-20 14:05,1309
2015-05-20 15:05,1309
2015-05-20 16:05,1276
2015-05-20 17:05,1265
2015-05-20 18:05,1155
2015-05-20 19:05,1331
2015-05-20 20:05,1309
2015-05-20 21:05,891
